STA,Date,Precip,MorningTemp,Snowfall,YR,MO,DA,PRCP,SNF,MiddayTemp
31401,1945-5-22,0.0,25.55555556,0.0,45,5,22,0.0,0.0,35.0
34104,1944-12-22,3.048,3.888888889,0.0,44,12,22,0.12,0.0,7.777777778
13201,1944-7-17,0.0,15.55555556,0.0,44,7,17,0.0,0.0,23.33333333
32805,1944-8-18,0.254,27.77777778,0.0,44,8,18,0.01,0.0,36.11111111
50401,1945-3-21,4.572,23.88888889,0.0,45,3,21,0.18,0.0,29.44444444
11610,1943-5-28,1.27,22.22222222,0.0,43,5,28,0.05,0.0,29.44444444
33109,1944-10-10,0.0,16.66666667,0.0,44,10,10,0.0,0.0,27.22222222
13005,1943-7-29,0.0,16.66666667,0.0,43,7,29,0.0,0.0,34.44444444
33305,1944-10-5,0.0,15.55555556,0.0,44,10,5,0.0,0.0,33.88888889
31701,1942-12-24,0.0,17.77777778,0.0,42,12,24,0.0,0.0,33.88888889
33205,1945-11-26,0.0,11.11111111,0.0,45,11,26,0.0,0.0,24.44444444
22507,1943-3-10,,14.44444444,0.0,43,3,10,,0.0,23.88888889
11604,1944-7-11,7.3660000000000005,23.33333333,0.0,44,7,11,0.29,0.0,30.55555556
50304,1944-9-5,,20.55555556,0.0,44,9,5,,0.0,28.33333333
10704,1943-12-22,0.0,21.66666667,0.0,43,12,22,0.0,0.0,29.44444444
22508,1944-1-25,0.0,16.66666667,0.0,44,1,25,0.0,0.0,26.66666667
10102,1945-11-16,0.0,23.33333333,0.0,45,11,16,0.0,0.0,32.22222222
50303,1944-6-9,7.62,22.77777778,0.0,44,6,9,0.3,0.0,27.77777778
32803,1944-10-12,0.0,18.88888889,0.0,44,10,12,0.0,0.0,30.0
11103,1945-2-10,0.0,17.77777778,0.0,45,2,10,0.0,0.0,23.88888889
50802,1944-9-23,,16.66666667,0.0,44,9,23,,0.0,25.0
40601,1945-2-16,,23.88888889,0.0,45,2,16,,0.0,30.55555556
32805,1944-12-11,0.0,12.22222222,0.0,44,12,11,0.0,0.0,27.22222222
32601,1942-12-3,0.0,12.22222222,0.0,42,12,3,0.0,0.0,28.88888889
12702,1944-4-30,4.064,22.22222222,0.0,44,4,30,0.16,0.0,27.22222222
34109,1944-7-1,0.0,16.66666667,0.0,44,7,1,0.0,0.0,30.0
33117,1945-10-11,0.0,13.88888889,0.0,45,10,11,0.0,0.0,20.55555556
60701,1943-10-15,,25.55555556,0.0,43,10,15,,0.0,32.22222222
33117,1945-11-25,0.0,11.11111111,0.0,45,11,25,0.0,0.0,18.88888889
60701,1945-9-7,0.0,25.55555556,0.0,45,9,7,0.0,0.0,33.88888889
33303,1944-1-14,1.524,8.333333332999999,0.0,44,1,14,0.06,0.0,15.55555556
10704,1944-12-30,,21.66666667,0.0,44,12,30,,0.0,28.88888889
12801,1944-10-16,0.254,21.11111111,0.0,44,10,16,0.01,0.0,28.33333333
11902,1943-1-5,0.0,21.66666667,0.0,43,1,5,0.0,0.0,33.33333333
